mode,batch_id,batch_size,started_at,finished_at,elapsed_seconds,rows,attempts,status,error_type,memory_rss_mb
serial20,1,1,2026-09-24T03:57:38.216795+00:00,2026-09-24T03:58:06.679463+00:00,28.50042,662,1,COMPLETED,,957.5
serial20,2,1,2026-09-24T03:58:06.719304+00:00,2026-09-24T03:58:30.652127+00:00,23.933084,662,1,COMPLETED,,920.31
serial20,3,1,2026-09-24T03:58:30.656340+00:00,2026-09-24T03:58:53.647983+00:00,22.991791,662,1,COMPLETED,,958.8
serial20,4,1,2026-09-24T03:58:53.650158+00:00,2026-09-24T03:59:18.584664+00:00,24.934696,662,1,COMPLETED,,960.34
serial20,5,1,2026-09-24T03:59:18.587246+00:00,2026-09-24T03:59:44.099470+00:00,25.512382,662,1,COMPLETED,,943.96
serial20,6,1,2026-09-24T03:59:44.101549+00:00,2026-09-24T04:00:10.852059+00:00,26.750688,662,1,COMPLETED,,977.96
serial20,7,1,2026-09-24T04:00:10.854403+00:00,2026-09-24T04:00:37.841494+00:00,26.987303,662,1,COMPLETED,,979.71
serial20,8,1,2026-09-24T04:00:37.843912+00:00,2026-09-24T04:01:06.988067+00:00,29.14435,662,1,COMPLETED,,935.7
serial20,9,1,2026-09-24T04:01:06.991223+00:00,2026-09-24T04:01:33.101327+00:00,26.110277,662,1,COMPLETED,,968.49
serial20,10,1,2026-09-24T04:01:33.104359+00:00,2026-09-24T04:01:56.120400+00:00,23.016182,662,1,COMPLETED,,980.95
serial20,11,1,2026-09-24T04:01:56.122416+00:00,2026-09-24T04:02:17.742103+00:00,21.619812,662,1,COMPLETED,,980.73
serial20,12,1,2026-09-24T04:02:17.743965+00:00,2026-09-24T04:02:40.843054+00:00,23.099246,662,1,COMPLETED,,936.55
serial20,13,1,2026-09-24T04:02:40.845552+00:00,2026-09-24T04:03:07.030739+00:00,26.18539,426,1,COMPLETED,,936.71
serial20,14,1,2026-09-24T04:03:07.034702+00:00,2026-09-24T04:03:35.881512+00:00,28.846996,505,1,COMPLETED,,948.81
serial20,15,1,2026-09-24T04:03:35.885140+00:00,2026-09-24T04:04:04.526126+00:00,28.641179,662,1,COMPLETED,,936.68
serial20,16,1,2026-09-24T04:04:04.529945+00:00,2026-09-24T04:04:31.602767+00:00,27.073013,662,1,COMPLETED,,949.58
serial20,17,1,2026-09-24T04:04:31.607428+00:00,2026-09-24T04:04:57.901521+00:00,26.294226,662,1,COMPLETED,,936.56
serial20,18,1,2026-09-24T04:04:57.904300+00:00,2026-09-24T04:05:27.577248+00:00,29.673128,662,1,COMPLETED,,936.88
serial20,19,1,2026-09-24T04:05:27.581897+00:00,2026-09-24T04:05:57.829344+00:00,30.247622,662,1,COMPLETED,,949.54
serial20,20,1,2026-09-24T04:05:57.833748+00:00,2026-09-24T04:06:25.045238+00:00,27.211656,662,1,COMPLETED,,936.94
batch20_100,1,20,2026-09-24T04:06:55.351801+00:00,2026-09-24T04:07:28.396011+00:00,33.065533,12847,1,COMPLETED,,951.11
batch20_100,2,20,2026-09-24T04:07:28.418775+00:00,2026-09-24T04:07:54.957951+00:00,26.539344,11720,1,COMPLETED,,958.17
batch20_100,3,20,2026-09-24T04:07:54.959979+00:00,2026-09-24T04:08:19.379064+00:00,24.419228,13240,1,COMPLETED,,963.66
batch20_100,4,20,2026-09-24T04:08:19.380955+00:00,2026-09-24T04:08:42.342477+00:00,22.961629,11942,1,COMPLETED,,939.6
batch20_100,5,20,2026-09-24T04:08:42.343959+00:00,2026-09-24T04:09:07.237910+00:00,24.894093,12490,1,COMPLETED,,944.63
batch50_100,1,50,2026-09-24T04:09:24.373545+00:00,2026-09-24T04:09:50.075002+00:00,25.733268,31187,1,COMPLETED,,945.26
batch50_100,2,50,2026-09-24T04:09:50.109533+00:00,2026-09-24T04:10:13.630971+00:00,23.521546,31052,1,COMPLETED,,943.41
batch100_100,1,100,2026-09-24T04:10:34.726439+00:00,2026-09-24T04:11:05.477376+00:00,30.778744,62239,1,COMPLETED,,934.3
sustained500,1,100,2026-09-24T04:12:06.928178+00:00,2026-09-24T04:12:36.991931+00:00,30.1157,62239,1,COMPLETED,,930.14
sustained500,2,100,2026-09-24T04:12:37.048785+00:00,2026-09-24T04:13:04.961135+00:00,27.91251,63723,1,COMPLETED,,947.34
sustained500,3,100,2026-09-24T04:13:04.963581+00:00,2026-09-24T04:13:35.756640+00:00,30.793243,64067,1,COMPLETED,,945.74
sustained500,4,100,2026-09-24T04:13:35.759532+00:00,2026-09-24T04:14:04.481139+00:00,28.721728,64892,1,COMPLETED,,952.5
sustained500,5,100,2026-09-24T04:14:04.483118+00:00,2026-09-24T04:14:27.970842+00:00,23.487853,63229,1,COMPLETED,,968.04
resume200,1,100,2026-09-24T04:15:50.447128+00:00,2026-09-24T04:16:15.197485+00:00,24.777001,62239,1,COMPLETED,,954.59
resume200,2,100,2026-09-24T04:16:37.707046+00:00,2026-09-24T04:17:06.146513+00:00,28.463459,63723,1,COMPLETED,,935.0
