security_id,exchange,board,listing_date,sample_reason
600039.SH,SH,SSE Main,20030325,board-stratified random
600160.SH,SH,SSE Main,19980626,board-stratified random
600187.SH,SH,SSE Main,19981111,historical ST/rule-boundary case
600399.SH,SH,SSE Main,20001229,board-stratified random
600518.SH,SH,SSE Main,20010319,historical ST and suspension case
600519.SH,SH,SSE Main,20010827,long-history control
600758.SH,SH,SSE Main,19961029,board-stratified random
601010.SH,SH,SSE Main,20110603,board-stratified random
601601.SH,SH,SSE Main,20071225,board-stratified random
601778.SH,SH,SSE Main,20200519,board-stratified random
603161.SH,SH,SSE Main,20180105,board-stratified random
603179.SH,SH,SSE Main,20170317,board-stratified random
603194.SH,SH,SSE Main,20241224,2024 new listing
603207.SH,SH,SSE Main,20240826,board-stratified random
603228.SH,SH,SSE Main,20170106,board-stratified random
603399.SH,SH,SSE Main,20120824,board-stratified random
603529.SH,SH,SSE Main,20210615,board-stratified random
603583.SH,SH,SSE Main,20180921,board-stratified random
603717.SH,SH,SSE Main,20170327,board-stratified random
603829.SH,SH,SSE Main,20171017,board-stratified random
603918.SH,SH,SSE Main,20150528,board-stratified random
603967.SH,SH,SSE Main,20190429,board-stratified random
605086.SH,SH,SSE Main,20210416,board-stratified random
605336.SH,SH,SSE Main,20201019,board-stratified random
605376.SH,SH,SSE Main,20201208,board-stratified random
000411.SZ,SZ,SZSE Main,19960716,board-stratified random
000541.SZ,SZ,SZSE Main,19931123,board-stratified random
000592.SZ,SZ,SZSE Main,19960327,board-stratified random
000628.SZ,SZ,SZSE Main,19961118,board-stratified random
001212.SZ,SZ,SZSE Main,20210823,board-stratified random
001257.SZ,SZ,SZSE Main,20260331,board-stratified random
001331.SZ,SZ,SZSE Main,20220908,factor case
001356.SZ,SZ,SZSE Main,20250123,board-stratified random
001391.SZ,SZ,SZSE Main,20241230,2024-2026 new listing
001396.SZ,SZ,SZSE Main,20251230,board-stratified random
002011.SZ,SZ,SZSE Main,20040705,board-stratified random
002016.SZ,SZ,SZSE Main,20040708,board-stratified random
002144.SZ,SZ,SZSE Main,20070803,board-stratified random
002163.SZ,SZ,SZSE Main,20070823,board-stratified random
002187.SZ,SZ,SZSE Main,20071122,board-stratified random
002239.SZ,SZ,SZSE Main,20080522,board-stratified random
002396.SZ,SZ,SZSE Main,20100623,board-stratified random
002445.SZ,SZ,SZSE Main,20100713,board-stratified random
002461.SZ,SZ,SZSE Main,20100818,board-stratified random
002518.SZ,SZ,SZSE Main,20101207,board-stratified random
002536.SZ,SZ,SZSE Main,20110111,board-stratified random
002616.SZ,SZ,SZSE Main,20110920,board-stratified random
002735.SZ,SZ,SZSE Main,20141203,board-stratified random
002747.SZ,SZ,SZSE Main,20150320,board-stratified random
003026.SZ,SZ,SZSE Main,20201218,board-stratified random
688026.SH,SH,STAR,20200122,board-stratified random
688047.SH,SH,STAR,20220624,board-stratified random
688115.SH,SH,STAR,20220314,factor case
688137.SH,SH,STAR,20220929,board-stratified random
688196.SH,SH,STAR,20191121,board-stratified random
688202.SH,SH,STAR,20191105,board-stratified random
688285.SH,SH,STAR,20211020,board-stratified random
688323.SH,SH,STAR,20210428,board-stratified random
688327.SH,SH,STAR,20220527,board-stratified random
688515.SH,SH,STAR,20230210,board-stratified random
688545.SH,SH,STAR,20250122,board-stratified random
688557.SH,SH,STAR,20201202,board-stratified random
688571.SH,SH,STAR,20201211,board-stratified random
688586.SH,SH,STAR,20200731,board-stratified random
688595.SH,SH,STAR,20200928,board-stratified random
688598.SH,SH,STAR,20200518,board-stratified random
688602.SH,SH,STAR,20230720,board-stratified random
688663.SH,SH,STAR,20210413,board-stratified random
688669.SH,SH,STAR,20210125,board-stratified random
688682.SH,SH,STAR,20210420,board-stratified random
688729.SH,SH,STAR,20250708,board-stratified random
688750.SH,SH,STAR,20241120,2024-2026 new listing
688766.SH,SH,STAR,20210823,board-stratified random
688795.SH,SH,STAR,20251205,board-stratified random
688981.SH,SH,STAR,20200716,STAR control
300031.SZ,SZ,ChiNext,20091225,board-stratified random
300054.SZ,SZ,ChiNext,20100211,board-stratified random
300236.SZ,SZ,ChiNext,20110629,board-stratified random
300285.SZ,SZ,ChiNext,20120113,board-stratified random
300307.SZ,SZ,ChiNext,20120329,board-stratified random
300427.SZ,SZ,ChiNext,20150217,board-stratified random
300487.SZ,SZ,ChiNext,20150702,board-stratified random
300497.SZ,SZ,ChiNext,20151222,board-stratified random
300643.SZ,SZ,ChiNext,20170505,board-stratified random
300682.SZ,SZ,ChiNext,20170801,board-stratified random
300750.SZ,SZ,ChiNext,20180611,long-history control
300772.SZ,SZ,ChiNext,20190426,board-stratified random
300831.SZ,SZ,ChiNext,20200507,board-stratified random
300894.SZ,SZ,ChiNext,20201231,board-stratified random
300908.SZ,SZ,ChiNext,20201123,board-stratified random
300971.SZ,SZ,ChiNext,20210415,board-stratified random
301062.SZ,SZ,ChiNext,20210914,board-stratified random
301068.SZ,SZ,ChiNext,20210928,board-stratified random
301228.SZ,SZ,ChiNext,20220128,board-stratified random
301290.SZ,SZ,ChiNext,20221130,board-stratified random
301319.SZ,SZ,ChiNext,20220929,board-stratified random
301377.SZ,SZ,ChiNext,20221122,board-stratified random
301498.SZ,SZ,ChiNext,20230816,board-stratified random
301607.SZ,SZ,ChiNext,20240904,2024-2026 new listing
301669.SZ,SZ,ChiNext,20260609,2024-2026 new listing
600048.SH,SH,SSE Main,20060731,deterministic 500 extension
603605.SH,SH,SSE Main,20171115,deterministic 500 extension
603189.SH,SH,SSE Main,20160914,deterministic 500 extension
603439.SH,SH,SSE Main,20200428,deterministic 500 extension
603755.SH,SH,SSE Main,20190828,deterministic 500 extension
600405.SH,SH,SSE Main,20040401,deterministic 500 extension
603217.SH,SH,SSE Main,20190620,deterministic 500 extension
603248.SH,SH,SSE Main,20251223,deterministic 500 extension
605155.SH,SH,SSE Main,20201231,deterministic 500 extension
603868.SH,SH,SSE Main,20160418,deterministic 500 extension
605566.SH,SH,SSE Main,20211025,deterministic 500 extension
600162.SH,SH,SSE Main,19980609,deterministic 500 extension
601615.SH,SH,SSE Main,20190123,deterministic 500 extension
600763.SH,SH,SSE Main,19961030,deterministic 500 extension
601018.SH,SH,SSE Main,20100928,deterministic 500 extension
603992.SH,SH,SSE Main,20190826,deterministic 500 extension
603567.SH,SH,SSE Main,20150424,deterministic 500 extension
601808.SH,SH,SSE Main,20070928,deterministic 500 extension
603955.SH,SH,SSE Main,20170310,deterministic 500 extension
603170.SH,SH,SSE Main,20220715,deterministic 500 extension
600905.SH,SH,SSE Main,20210610,deterministic 500 extension
600960.SH,SH,SSE Main,20040407,deterministic 500 extension
601799.SH,SH,SSE Main,20110201,deterministic 500 extension
603173.SH,SH,SSE Main,20230130,deterministic 500 extension
600682.SH,SH,SSE Main,19931018,deterministic 500 extension
002878.SZ,SZ,SZSE Main,20170606,deterministic 500 extension
002615.SZ,SZ,SZSE Main,20110909,deterministic 500 extension
002116.SZ,SZ,SZSE Main,20070215,deterministic 500 extension
002270.SZ,SZ,SZSE Main,20080905,deterministic 500 extension
002716.SZ,SZ,SZSE Main,20140128,deterministic 500 extension
000066.SZ,SZ,SZSE Main,19970626,deterministic 500 extension
000711.SZ,SZ,SZSE Main,19970411,deterministic 500 extension
002799.SZ,SZ,SZSE Main,20160608,deterministic 500 extension
003030.SZ,SZ,SZSE Main,20210106,deterministic 500 extension
001386.SZ,SZ,SZSE Main,20251022,deterministic 500 extension
002524.SZ,SZ,SZSE Main,20101217,deterministic 500 extension
002133.SZ,SZ,SZSE Main,20070427,deterministic 500 extension
003000.SZ,SZ,SZSE Main,20200914,deterministic 500 extension
002981.SZ,SZ,SZSE Main,20200417,deterministic 500 extension
002320.SZ,SZ,SZSE Main,20091216,deterministic 500 extension
002258.SZ,SZ,SZSE Main,20080708,deterministic 500 extension
002564.SZ,SZ,SZSE Main,20110310,deterministic 500 extension
000001.SZ,SZ,SZSE Main,19910403,deterministic 500 extension
000850.SZ,SZ,SZSE Main,19981007,deterministic 500 extension
002093.SZ,SZ,SZSE Main,20061215,deterministic 500 extension
000069.SZ,SZ,SZSE Main,19970910,deterministic 500 extension
000672.SZ,SZ,SZSE Main,19961218,deterministic 500 extension
002972.SZ,SZ,SZSE Main,20191227,deterministic 500 extension
002081.SZ,SZ,SZSE Main,20061120,deterministic 500 extension
002793.SZ,SZ,SZSE Main,20160415,deterministic 500 extension
688825.SH,SH,STAR,20260727,deterministic 500 extension
688230.SH,SH,STAR,20211201,deterministic 500 extension
688119.SH,SH,STAR,20220606,deterministic 500 extension
688388.SH,SH,STAR,20190722,deterministic 500 extension
688510.SH,SH,STAR,20201216,deterministic 500 extension
688561.SH,SH,STAR,20200722,deterministic 500 extension
688339.SH,SH,STAR,20200810,deterministic 500 extension
688585.SH,SH,STAR,20200928,deterministic 500 extension
688076.SH,SH,STAR,20210520,deterministic 500 extension
688200.SH,SH,STAR,20200218,deterministic 500 extension
688239.SH,SH,STAR,20210705,deterministic 500 extension
688281.SH,SH,STAR,20220307,deterministic 500 extension
688478.SH,SH,STAR,20230424,deterministic 500 extension
688229.SH,SH,STAR,20200817,deterministic 500 extension
688639.SH,SH,STAR,20210422,deterministic 500 extension
688566.SH,SH,STAR,20200518,deterministic 500 extension
688779.SH,SH,STAR,20210811,deterministic 500 extension
688275.SH,SH,STAR,20220929,deterministic 500 extension
688083.SH,SH,STAR,20210311,deterministic 500 extension
688591.SH,SH,STAR,20230825,deterministic 500 extension
688292.SH,SH,STAR,20220818,deterministic 500 extension
688088.SH,SH,STAR,20190722,deterministic 500 extension
688835.SH,SH,STAR,20260825,deterministic 500 extension
688403.SH,SH,STAR,20220818,deterministic 500 extension
688272.SH,SH,STAR,20211018,deterministic 500 extension
300102.SZ,SZ,ChiNext,20100812,deterministic 500 extension
300598.SZ,SZ,ChiNext,20170120,deterministic 500 extension
301003.SZ,SZ,ChiNext,20210601,deterministic 500 extension
300415.SZ,SZ,ChiNext,20150123,deterministic 500 extension
300094.SZ,SZ,ChiNext,20100708,deterministic 500 extension
301519.SZ,SZ,ChiNext,20230727,deterministic 500 extension
300339.SZ,SZ,ChiNext,20120718,deterministic 500 extension
300946.SZ,SZ,ChiNext,20210208,deterministic 500 extension
300137.SZ,SZ,ChiNext,20101105,deterministic 500 extension
300953.SZ,SZ,ChiNext,20210318,deterministic 500 extension
300969.SZ,SZ,ChiNext,20210412,deterministic 500 extension
