trade_date,ts_code,open,high,low,close,amount,suspended
2025-05-27,000020.SZ,12.25,12.35,12.12,12.24,24192472.0,False
2025-05-28,000020.SZ,12.2,12.33,12.0,12.07,24803465.8,False
2025-05-29,000020.SZ,12.09,12.58,12.06,12.51,41789319.0,False
2025-05-30,000020.SZ,12.46,12.58,12.18,12.21,26087236.0,False
2025-06-03,000020.SZ,12.2,12.28,12.04,12.12,22703602.79,False
2025-06-04,000020.SZ,12.12,12.24,12.09,12.22,14830943.0,False
2025-06-05,000020.SZ,12.3,12.41,12.17,12.36,24963977.0,False
2025-06-06,000020.SZ,12.34,12.58,12.31,12.57,30388365.39,False
2025-06-09,000020.SZ,12.64,13.0,12.5,12.85,53594523.76,False
2025-06-10,000020.SZ,12.93,14.14,12.64,12.7,211698438.34,False
2025-06-11,000020.SZ,12.84,12.96,12.47,12.73,113920721.15,False
2025-06-12,000020.SZ,12.65,12.95,12.52,12.62,69028736.48,False
2025-06-13,000020.SZ,12.56,12.64,12.35,12.38,48780754.08,False
2025-06-16,000020.SZ,12.35,12.62,12.2,12.53,33600212.84,False
2025-06-17,000020.SZ,12.53,13.78,12.46,13.78,126290280.29,False
2025-06-18,000020.SZ,13.9,15.16,13.41,15.16,390246944.59,False
2025-06-19,000020.SZ,15.92,16.68,14.55,14.58,658987962.78,False
2025-06-20,000020.SZ,14.01,15.2,13.5,13.65,450591831.85,False
2025-06-23,000020.SZ,13.26,14.09,13.26,13.88,301542974.66,False
2025-06-24,000020.SZ,14.33,14.87,14.08,14.2,313248943.76,False
2025-06-25,000020.SZ,14.2,14.51,13.83,14.02,191234681.68,False
2025-06-26,000020.SZ,14.15,14.8,13.95,13.95,229261725.09,False
2025-06-27,000020.SZ,13.88,14.0,13.53,13.61,157642660.09,False
2025-06-30,000020.SZ,13.8,14.69,13.7,14.29,194789169.17,False
2025-07-01,000020.SZ,14.28,14.35,13.95,14.17,109830246.59,False
2025-07-02,000020.SZ,14.12,14.12,13.82,13.96,75454527.67,False
2025-07-03,000020.SZ,13.99,14.08,13.84,13.95,59181520.0,False
2025-07-04,000020.SZ,13.91,13.96,13.47,13.63,89742539.5,False
2025-07-07,000020.SZ,13.63,13.79,13.45,13.7,48051792.0,False
2025-07-08,000020.SZ,13.67,13.85,13.66,13.79,50358499.8,False
2025-07-09,000020.SZ,13.8,13.82,13.49,13.52,61399303.2,False
2025-07-10,000020.SZ,13.5,13.55,13.37,13.5,43482359.88,False
2025-07-11,000020.SZ,13.5,13.54,13.3,13.47,48208115.6,False
2025-07-14,000020.SZ,13.45,13.52,13.36,13.49,34084892.0,False
2025-07-15,000020.SZ,13.5,13.53,13.12,13.26,41545641.0,False
2025-07-16,000020.SZ,13.28,13.45,13.1,13.35,29418328.0,False
2025-07-17,000020.SZ,13.36,13.46,13.18,13.43,34008021.0,False
2025-07-18,000020.SZ,13.48,13.49,13.26,13.41,31970090.0,False
2025-07-21,000020.SZ,13.42,13.54,13.35,13.48,46008936.0,False
2025-07-22,000020.SZ,13.48,13.52,13.17,13.21,52360126.0,False
2025-07-23,000020.SZ,13.24,13.24,13.07,13.1,33415229.0,False
2025-07-24,000020.SZ,13.1,13.28,13.1,13.22,34643045.0,False
2025-07-25,000020.SZ,13.25,13.39,13.21,13.37,38047814.0,False
2025-07-28,000020.SZ,13.44,13.51,13.3,13.48,42235579.0,False
2025-07-29,000020.SZ,13.41,13.49,13.31,13.48,35814861.0,False
2025-07-30,000020.SZ,13.42,13.49,13.24,13.35,44624036.4,False
2025-07-31,000020.SZ,13.39,13.96,13.07,13.12,86158161.8,False
2025-08-01,000020.SZ,13.13,13.42,13.07,13.39,59319681.0,False
2025-08-04,000020.SZ,13.39,13.5,13.28,13.5,45611323.0,False
2025-08-05,000020.SZ,13.49,13.83,13.48,13.8,76737055.0,False
2025-08-06,000020.SZ,13.8,13.82,13.67,13.78,51595745.74,False
2025-08-07,000020.SZ,13.78,14.16,13.74,14.08,93947964.7,False
2025-08-08,000020.SZ,14.16,14.3,13.7,13.79,137739913.4,False
2025-08-11,000020.SZ,13.86,14.23,13.75,14.06,115233705.0,False
2025-08-12,000020.SZ,14.07,14.53,14.0,14.33,95445157.63,False
2025-08-13,000020.SZ,14.3,14.37,14.03,14.08,69960768.0,False
2025-08-14,000020.SZ,14.1,14.15,13.8,13.87,61347619.4,False
2025-08-15,000020.SZ,13.82,13.96,13.79,13.9,44559557.98,False
2025-08-18,000020.SZ,13.98,14.15,13.94,13.98,51669061.0,False
2025-08-19,000020.SZ,14.09,14.2,13.88,14.13,66870345.58,False
2025-08-20,000020.SZ,14.14,14.37,14.07,14.36,68645270.0,False
2025-08-21,000020.SZ,14.41,14.6,14.27,14.41,71572494.6,False
